['2021-12-31', '15-04-20', 'Оболенск через бумажку всё чисто'],
['2021-04-09', '08-32-43', 'ехала в сторону Мирного'],
['2021-04-09', '08-37-05', 'Большевик старая контора активно работают'],
['2021-04-09', '09-00-15', 'вот и не работает светофор следующий которого после поворота на сердце'],
['2021-04-09', '09-12-04', 'поворотно Карпова Экипаж тормозят сторону города'],
['2021-04-09', '09-23-54', 'Тульское шоссе поворот на Авангарде стоит Экипаж работает'],
['2021-04-09', '09-23-55', 'вторая школа Круг чисто'],
['2021-04-09', '09-29-56', 'экипаж'],
['2021-04-09', '09-31-54', 'Ивановское кладбище в четыре руки в обе стороны работают'],
['2021-04-09', '09-31-59', 'шоссе переезд Где ближе к вокзалу во все стороны стоим'],
['2021-04-09', '09-37-26', 'на кругу второй школе вновь стали пока не'],
['2021-04-09', '09-49-05', 'Круг стоит машинка но Гвардейцев не видно'],
['2021-04-09', '09-51-58', 'машина работать'],
['2021-04-09', '09-58-45', 'Народная Ивановское кладбище экипаж в обе стороны очень усердно старается всех подряд щенячим глазами подходит и пытается понюхать что я кушал вчера или'],
['2021-04-09', '10-11-17', 'поворот на Авангард платформу экипаж'],
['2021-04-09', '10-15-46', 'старая контора чисто'],
['2021-04-09', '10-15-55', 'кладбище актуально активно работают такси останавливают'],
['2021-04-09', '10-17-00', 'Васильевская эстакада экипаж в сторону Серпухова'],
['2021-04-09', '10-17-15', 'чисто'],
['2021-04-09', '10-18-54', 'Авангард один Экипаж работает'],
['2021-04-09', '10-24-15', 'на кругу стоит машинка Ну пока сидят в машине'],
['2021-04-09', '10-25-39', 'Московское шоссе где оптовая Цветочная'],
['2021-04-09', '10-26-46', 'напротив эстакады работаю'],
['2021-04-09', '10-33-24', 'по базовой едет в сторону Овощной базы'],
['2021-04-09', '10-35-00', 'техничка equipage стоят на Московском шоссе с ворота лифта завод'],
['2021-04-09', '10-43-16', 'шоссе поворот на электрозавод екипаж техничка актуально'],
['2021-04-09', '10-45-51', 'Мишина 18 напротив стоянка такси на мигалка стоит Экипаж сидят машину машине'],
['2021-04-09', '10-45-58', 'Экипаж актуально'],
['2021-04-09', '10-47-57', 'под эстакадой в сторону Серпухова работает'],
['2021-04-09', '10-50-18', 'Московское шоссе Эквадор экипажа'],
['2021-04-09', '11-11-58', 'кто поедет в сторону Чехова от Лукойла до светофора родионовке пробочка блин вроде ничего нету только из-за светофоры видать такая собралась на Васильевском'],
['2021-04-09', '11-23-19', 'поправочка пробка HD эстакады на эстакаде хвост её стоит Так что если кто поедет наверное лучше через московку обижайся по'],
['2021-04-09', '11-24-45', 'Борисовское шоссе Шаховская стоят папа яичников касках на мигалках на УАЗике похудел кого-то ждут какая-то операция наверное идёт имейте'],
['2021-04-09', '11-58-31', 'на перекрёстке стоят во все стороны'],
['2021-04-09', '12-09-36', 'на выезд'],
['2021-04-09', '12-26-50', 'заправка мириданс'],
['2021-04-09', '12-34-02', 'Орион работает Экипаж из города'],
['2021-04-09', '12-42-28', 'много гаишников из города передал создают сейчас Начнут работать'],
['2021-04-09', '13-07-37', 'Экипаж работает'],
['2021-04-09', '13-15-37', 'техничка строит работаю'],
['2021-04-09', '13-35-31', 'ехал по Северному шоссе Роллтон в сторону вокзала'],
['2021-04-09', '13-53-58', 'база мигалках на мозг заворачивать'],
['2021-04-09', '14-04-14', 'аварию там автобус что-то стукнулся посередине дороги где пересечение Горького'],
['2021-04-09', '14-11-59', 'работа'],
['2021-04-09', '14-13-58', '8 батальон продолжает работу только две руки один Экипаж останавливает выборочно'],
['2021-04-09', '14-14-10', 'уехали'],
['2021-04-09', '14-27-55', 'Авангард Экипаж из города Смоленска стоят смотрит'],
['2021-04-09', '15-15-52', 'Авангард Экипаж стоит'],
['2021-04-09', '15-32-45', 'перекрёсток Горького с Центральной там что-то это автобус очень много всего второго участника нету короче затруднено движение'],
['2021-04-09', '15-36-28', 'Горького Ворошилова аварию Разобрали все разъехались техничка тоже только что уехала пока разворачивался не видел куда'],
['2021-04-09', '15-44-15', 'Экипаж работа'],
['2021-04-09', '15-45-05', 'большевики astart остановили такси обычно проверка путевой лист'],
['2021-04-09', '16-13-28', 'Поворот с нового моста на Пролетарскую только что девочка таксиста догнала смотрите может быть пробка прямо на перекрёстке'],
['2021-04-09', '16-37-18', '8 батальон Ford Transit работает из города'],
['2021-04-09', '16-43-04', 'Спартак работают в обе стороны'],
['2021-04-09', '16-43-29', 'на Ивановское кладбище экипаж'],
['2021-04-09', '17-14-28', 'ребят кто поедет в сторону двориков через ивановскую деревню пробка стоит кладбище и туда прямо до светофора в дворик который уже возле б-класс'],
['2021-04-09', '17-17-16', '108 Экипаж работает он 2 таксистов грызут'],
['2021-04-09', '17-17-56', '106 гаишники оформили ДТП и уехали'],
['2021-04-09', '17-43-31', 'экипаж'],
['2021-04-09', '17-44-53', 'форма Авангард Экипаж активно работает'],
['2021-04-09', '18-23-57', 'на парковке рынок черняга стоят'],
['2021-04-09', '18-48-20', 'Шилова 2 мойка самообслуживания типаж повнимательней'],
['2021-04-09', '18-49-51', 'Корстон Связной на пешехода'],
['2021-04-09', '18-50-59', 'Экипаж остановили таксиста'],
['2021-04-09', '18-57-00', 'экипаж'],
['2021-04-09', '20-34-47', 'Ворошилова самообслуживание внизу стоят'],
['2021-04-09', '20-43-29', 'работает экипаж'],
['2021-04-09', '21-15-37', '8 батальон актуально работает'],
['2021-04-09', '21-31-32', 'судебный стоит Ford Transit пока не останавливает но кого-то оформляет уже'],
['2021-04-09', '21-43-30', 'Ворошилова торговый центр лето в сторону вокзала таксисты догнали осторожней'],
['2021-04-09', '21-45-00', 'парни Помогите пожалуйста кто увидит Девочка в клетчатом платье пальто 12 лет потерялась в Омске двориках ищем родителей Все ищут девочку по ивановским дворикам если кто увидит выложить в группу пожалуйста'],
['2021-04-09', '22-06-35', 'кому интересно Авангард части'],
['2021-04-09', '22-21-09', 'Будьте пожалуйста повнимательней ребёнок 12 лет пальто серое в клетку девочка 12 лет потерял представляющим Родители там в истерике пожалуйста присмотритесь лосины со стразами без шапки волосы тёмные ниже плеч без шапки'],
['2021-04-09', '22-30-20', 'дома Юбилейная 12 14 между домами между школой и домом'],
['2021-04-09', '22-31-05', 'Всем спасибо нашли девочку нашли девочку Спасибо всем большое за участие удачи'],
['2021-04-09', '22-41-34', 'Господу нашему и спасителю Иисусу Христу'],
['2021-04-09', '22-43-10', 'друзья ребята нашли ребёнка в общем на Московское шоссе 80 вот этот Пятёрочка где есть Позвонили мне сказали сейчас я еду туда в общем всем спасибо огромное от души благодарю всё'],
['2021-04-09', '22-43-37', 'Земля стоит Экипаж Ford Transit'],
['2021-04-09', '23-29-01', 'батальон экипажи работает'],
['2021-04-09', '23-33-32', 'напротив русского медведя пьяный мужик стоит прямо на дороге аккуратней Неизвестно что у него на уме'],
['2021-04-10', '04-26-07', 'судимля Где магазин на повороте Экипаж работает'],
['2021-04-10', '06-00-52', 'шоссе Мособлгаз в обе стороны'],
['2021-04-10', '06-03-23', 'Звёздные активнее работают в обе стороны'],
['2021-04-10', '07-23-33', 'Авангард два экипажа'],
['2021-04-10', '07-25-35', 'Экипаж на мигалках стоит'],
['2021-04-10', '07-45-02', 'Доброе утро поворотно осенний чисто'],
['2021-04-10', '07-46-32', 'проехала по Звёздной сторону Ворошилова'],
['2021-04-10', '08-54-54', 'Звёздная 6 стоит на мигалках'],
['2021-04-10', '08-55-37', 'живёте где старый который экипаж'],
['2021-04-10', '09-03-13', 'на Москву через Борисовна М2 на бабочке 3 экипажа работают во все стороны'],
['2021-04-10', '09-04-12', 'kamik'],
['2021-04-10', '09-10-42', 'Подтверждаю останавливают всех подряд'],
['2021-04-10', '09-13-02', 'против тамика на окнах шоссе актуально'],
['2021-04-10', '09-16-45', 'заправка танеко'],
['2021-04-10', '09-30-46', 'поворот на санаторий Авангард один Экипаж один сотрудник так вяло работает и двое интенсивное в Васильевском на Лукойле'],
['2021-04-10', '09-39-35', 'Связной Корстон Экипаж на пешехода стоит смотрит движение плотное народу много внимательней'],
['2021-04-10', '09-41-42', 'в сторону вокзал проехала горсуда проехал'],
['2021-04-10', '10-11-04', 'встретил на вокзале поехала дальше в сторону Северного'],
['2021-04-10', '10-14-03', 'Ивановское кладбище поворот'],
['2021-04-10', '10-19-35', 'старая контора двухсторон 2 человек таксист останавливались проверяй'],
['2021-04-10', '10-44-43', 'восьмая медсанчасть'],
['2021-04-10', '10-58-28', 'через Борисов поворот бетонки стоят ребята'],
['2021-04-10', '11-11-58', 'на Дзержинского возле школы аварий'],
['2021-04-10', '11-16-26', 'Спасибо Дарина на выезде в Москву и в Тулу перед развязкой работает техничка 8 батальон'],
['2021-04-10', '11-20-19', 'пробка большая в деревне до светофора на трассу'],
['2021-04-10', '11-52-23', 'технически сейчас находится'],
['2021-04-10', '11-59-08', 'Дзержинского 1 железобетонный завод экипаж'],
['2021-04-10', '12-06-38', 'на оборонной поворот на береговую'],
['2021-04-10', '12-31-05', 'Московское шоссе После заправки газпромовской стоит экипаж'],
['2021-04-10', '13-05-31', 'Горького ДТП'],
['2021-04-10', '14-03-56', 'Ворошилова авария на перекрёстке'],
['2021-04-10', '16-15-03', 'выезд через Бутурлино всё свободно нормально'],
['2021-04-10', '16-17-35', 'пробка со стороны Липецк стоит но она как-то Это она движется проверяет едет там блоки ставят заградительные она работают Посередине между окойе Липецкой развязкой'],
['2021-04-10', '16-25-11', 'из города'],
['2021-04-10', '16-28-02', 'Ворошилова ДТП'],
['2021-04-10', '16-41-55', 'выезд на Симферополь постоянно'],
['2021-04-10', '16-52-50', 'два экипажа буровую что-то там 300'],
['2021-04-10', '16-56-08', 'стоят но по-моему один экипаж'],
['2021-04-10', '17-00-07', 'второй похоже переехал на красный Текстильщик напротив Пятёрочке но таксист остановился не понравился Он ему'],
['2021-04-10', '17-22-01', 'работает'],
['2021-04-10', '18-17-41', 'батальон Ford Transit стоит'],
['2021-04-10', '18-51-01', '2 Ford Transit и Ford Focus из города'],
['2021-04-10', '19-55-29', 'со стороны инфекционки два экипажа стоят'],
['2021-04-10', '19-59-31', 'напротив больницы рядом больница там сейчас будет коридор'],
['2021-04-10', '20-13-53', 'инфекционная больница Вот это стадион Спартак 3 машина там стоит И очень много сотрудники'],
['2021-04-10', '20-16-14', 'перекрёсток стоит PS'],
['2021-04-10', '20-21-14', 'коллеги стадион Спартак коридор в сторону большевика повнимательнее'],
['2021-04-10', '20-33-16', 'актуальная Дай 5 школа стоят на пешеходов работа'],
['2021-04-10', '21-14-57', 'улица захаркина между седьмым домом и Чернышевского 35 дома по улице захаркина как поворот к седьмому дому лобовое столкновение дорога полностью перекрыта Яндекс с кем-то лобовое'],
['2021-04-10', '21-30-40', 'мой батальон'],
['2021-04-10', '21-44-56', 'Вечный огонь Экипаж работает выборочно тормозят'],
['2021-04-10', '23-43-34', 'интересно поворотно пролетарку equipage работает'],
['2021-04-11', '02-33-46', 'Экипаж выборочно'],
['2021-04-11', '02-58-01', 'центр Да ногинка работает экипажах также поворот на осеннюю Звёздная сауна Звёздный тоже стоит один чуть позже тоже тормозят выборочно'],
['2021-04-11', '03-42-16', 'Бутурлино где открытый каток где заправка всех подряд в обе стороны'],
['2021-04-11', '06-30-08', 'Пролетарская 144 экипажа работает'],
['2021-04-11', '07-13-57', 'Советская пересечение с Горького Светофор Не пойми что показывает аккуратней'],
['2021-04-11', '07-15-00', 'шоссе 26 прямо на парковке Toyota экипажный'],
['2021-04-11', '07-38-11', 'какая'],
['2021-04-11', '07-53-04', 'работаю'],
['2021-04-11', '07-57-29', 'Советская Горького Светофор продолжает работать на своей волне везде зелёный'],
['2021-04-11', '08-04-49', 'выезд на м-2 через Борисово пока что везде всё чисто никого нет'],
['2021-04-11', '08-35-53', 'Северное шоссе на повороте Где тагет equipage стоит'],
['2021-04-11', '08-42-42', 'после переезда где заправка напротив тагет экипаж'],
['2021-04-11', '08-44-40', 'заправка Татнефть экипаж в 2 стороны'],
['2021-04-11', '09-06-45', 'около второй школы экипажа работает'],
['2021-04-11', '09-13-18', 'утро вторая школа на торговой ебаш'],
['2021-04-11', '09-55-07', 'экипаж'],
['2021-04-11', '10-01-52', 'Доброе утро 2 школа на кругу Экипаж стоит оформляют'],
['2021-04-11', '10-29-13', 'стоит какой-то гаишник Одинокий из патрульной машины'],
['2021-04-11', '10-29-38', 'экипаж в сторону города'],
['2021-04-11', '10-39-03', 'работает активно в сторону Протвино'],
['2021-04-11', '10-46-16', 'Горького Советская аккуратней Светофор работает все цвета включены одновременно будьте внимательны'],
['2021-04-11', '10-48-05', 'школа Круг чести'],
['2021-04-11', '10-50-13', 'Чернышевского Космонавтов не работает светофор'],
['2021-04-11', '11-13-32', 'округ equipage'],
['2021-04-11', '11-20-12', 'блатной экипаж'],
['2021-04-11', '11-44-48', 'тагет два экипажа'],
['2021-04-11', '12-43-05', 'Калиново тагет смотреть подъехал'],
['2021-04-11', '12-47-28', 'Янтарь магазин экипаж'],
['2021-04-11', '13-13-47', 'Светофор Чернышевского космонавт не работает осторожным'],
['2021-04-11', '13-19-55', 'два экипажа в обе стороны'],
['2021-04-11', '13-25-31', 'тагет актуальна с двух сторон активнее'],
['2021-04-11', '17-16-27', 'Октябрьская дом 26 два экипажа залавье легковушку что-то там разбираются слушать обычную'],
['2021-04-11', '17-48-41', 'сторонушке экипажи кг стоит в сторону Ну Ворошилова так скажу уже Газель такой там брючная 30 минут'],
['2021-04-11', '17-59-57', 'Российская 40 Экипаж стоит'],
['2021-04-11', '18-08-12', 'где МРТ в обе стороны'],
['2021-04-11', '18-08-29', 'Круг работает машинка'],
['2021-04-11', '18-20-55', 'Татнефть два экипажа в обе стороны'],
['2021-04-11', '18-58-28', 'Татнефть экипаж в обе стороны'],
['2021-04-11', '18-58-34', 'Чернега в обе стороны'],
['2021-04-11', '19-00-50', '26 Экипаж стоит'],
['2021-04-11', '19-03-23', '40 стоит какой-то машина оформляет'],
['2021-04-11', '19-07-22', 'они там оформляют уже Да ну минут 40 точно'],
['2021-04-11', '19-11-59', 'сторону Тульской области Пущино липицы Лукьяново в обратку пробка я не знал приехал Сейчас буду добираться как-то'],
['2021-04-11', '19-24-17', 'этот самый equipage'],
['2021-04-11', '19-27-45', 'мой какой типаж стоит'],
['2021-04-11', '20-11-10', 'напротив Космос 49 армия стоит экипаж'],
['2021-04-11', '20-32-08', 'возле России на мигалка стоят'],
['2021-04-11', '20-59-08', 'шаурма 5 звёзд на пешеходов работают'],
['2021-04-11', '22-27-00', 'Советская 1 там внизу на площадке'],
['2021-04-11', '23-50-31', 'Доброй ночи улица Новая стоит Экипаж перед круговым движением спрятались за фурой'],
['2021-04-12', '00-23-58', 'Экипаж поворотно Карпова все подряд'],
['2021-04-12', '05-02-23', 'Доброе доброе утро всем Экипаж стоит на мигалках пересечение улицы Пролетарской покороче красного моста ехать Вот на эту starfury'],
['2021-04-12', '06-26-20', 'оборона улица Пролетарская стоит Экипаж на мигалка Ну машину пока вроде не тормозит'],
['2021-04-12', '06-27-30', 'Доброе утро там курсантов везут научение как раз по этой по Пролетарской и поэтому все вот эти вот перекрёстке перекрыта Я только что стоял на пересечении этого Пролетарская и этот на Октябрьскую с Ворошилова'],
['2021-04-12', '06-30-03', 'Всем доброе утро кому интересно от красного моста до m2 через Бутурлино всё чисто'],
['2021-04-12', '06-46-41', 'на развязке паштет'],
['2021-04-12', '06-50-26', 'работает Экипаж пока по грузовую'],
['2021-04-12', '08-02-20', '49 армии Экипаж стоит'],
['2021-04-12', '08-08-25', 'Армен стали'],
['2021-04-12', '08-11-22', 'поворот на Авангард всех подряд'],
['2021-04-12', '08-16-57', '83 девятый магазин двойки Паша пока болтают одеваюсь'],
['2021-04-12', '08-18-04', 'Северное шоссе автоматическая заправка работает'],
['2021-04-12', '08-36-15', 'утро Татнефть барди самообслуживание мойка за Чернигове в сторону большевика точнее в сторону города работает Экипаж повнимательней'],
['2021-04-12', '08-36-44', 'экипаж'],
['2021-04-12', '08-43-27', 'Коллеги доброе утро Северное шоссе актуально в 2 руки'],
['2021-04-12', '08-44-40', 'техничка на стоит на Баренцевом Газпрома'],
['2021-04-12', '09-04-29', 'техничка стоит возле 142 дома по борисовскому шоссе'],
['2021-04-12', '09-07-51', 'Центральная 142/3 из города'],
['2021-04-12', '09-10-37', '1 барон Оборонная и первая московская авария Будьте внимательна'],
['2021-04-12', '09-18-36', 'Рижское шоссе поворот на школьную'],
['2021-04-12', '09-24-17', 'Авангард экипаж'],
['2021-04-12', '09-33-26', 'чисто технически нету дозаправки общий'],
['2021-04-12', '09-35-59', 'Экипаж стоит в Большевике на линии возле автоспа'],
['2021-04-12', '09-42-15', 'Центральная 142 3 корпус со стороны борисовского'],
['2021-04-12', '10-03-17', 'Борисовское шоссе корпуса 142 3'],
['2021-04-12', '10-07-30', 'два экипажа переобуваются наверное да'],
['2021-04-12', '10-09-02', 'Ох уехала в Центральной'],
['2021-04-12', '10-27-53', 'Светофор где со стороны роснефти в сторону корстона у светофора сломалась машина в правом ряду там сейчас будут затруднения уши обижайте Советской'],
['2021-04-12', '10-29-58', 'Привет техничка в районе заправки tamic на Новорижском шоссе'],
['2021-04-12', '10-39-32', 'окское шоссе оформляет фуру'],
['2021-04-12', '11-22-00', 'самого на Карла Маркса когда поворачивайте частный сектор там провод висит что тебя не влетел не зацепил провод будь аккуратна'],
['2021-04-12', '12-06-02', 'Чехова зоология которая'],
['2021-04-12', '12-45-41', 'контроль коллеги повернул на Урицкого туда наверное обед поехал 38 дому Московское шоссе'],
['2021-04-12', '12-51-55', 'Набери 38 Дом стоит лампа для'],
['2021-04-12', '13-08-39', 'поворот на Авангард 1 equipage валенька стоит в носу ковыряется'],
['2021-04-12', '13-45-14', 'на Ворошилова не работает светофор'],
['2021-04-12', '14-21-51', 'Московское шоссе поворот на Северное шоссе в сторону города ДТП небольшое затруднение в левом в левом'],
['2021-04-12', '14-36-26', 'не в левом А в среднем Короче как прямо'],
['2021-04-12', '14-37-20', '8 батальон в сторону Москвы из города'],
['2021-04-12', '14-56-29', 'пивзавод стоит Экипаж пока не работает'],
['2021-04-12', '14-57-52', 'сечение Пролетарской Чернышевского встал equipage звёздочки одевают'],
['2021-04-12', '15-13-07', 'на Пролетарке где светофор на новом мосту хоть светофора работает но что-то гаишник там регулирует сам туда-сюда руками Маша будьте внимательны'],
['2021-04-12', '15-14-56', 'автобусы каких-то куча они сопровождают'],
['2021-04-12', '15-16-07', '2 Ford Transit гаишников'],
['2021-04-12', '15-49-54', '8 батальона актуально на выезд'],
['2021-04-12', '16-42-48', 'интересно старые симферополька поворот на коробку стоит Экипаж на Мега'],
['2021-04-12', '16-43-31', 'Пятёрочка стоит на дороге инспектор с палкой жалейте в Ведьмака установить на меня не остановил спереди и сзади тоже никого нет'],
['2021-04-12', '16-48-36', 'Лесная конечная Экипаж пусто'],
['2021-04-12', '17-08-17', 'батальон работает Экипаж на выезд из города'],
['2021-04-12', '17-56-22', 'Большевике в ворота перед самой линией не доезжая остановке Как ехать в сторону Протвино короче в конце Бора стоят один Экипаж работает с 2 сторон'],
['2021-04-12', '18-12-14', 'на Севрюкова в бору с двух сторон тормозят'],
['2021-04-12', '18-20-39', 'один бегает она одну сторону дороги то он дорогой'],
['2021-04-12', '18-20-46', 'город едешь'],
['2021-04-12', '18-28-23', 'на оранжерейной хочу поставить'],
['2021-04-12', '18-42-47', 'Корстон Связной Ну на Ворошилова стоят пешехода высматривают'],
['2021-04-12', '20-41-07', 'после судимля Светофор на 108 сторону Балабаново на горочка авария Будьте аккуратнее'],
['2021-04-12', '21-32-32', 'экипаж'],
['2021-04-13', '00-50-40', 'Экипаж но они спят в машине'],
['2021-04-13', '05-44-43', 'Авангард стоят сторону Чехова три палочки тормозят'],
['2021-04-13', '06-14-00', 'платформа Авангард два экипажа активно работают'],
['2021-04-13', '06-49-39', 'Звёздный экипаж'],
['2021-04-13', '06-55-48', 'если ехать в сторону осенние стоит экипаж'],
['2021-04-13', '06-57-23', 'Доброе утро Пятая школа гаишника один только на пешехода вроде'],
['2021-04-13', '07-29-21', 'гимназия номер 1 Октябрьская гаишник стоит Ну наверное он контролирует детей в школу'],
['2021-04-13', '08-11-58', '8 батальон из города работу'],
['2021-04-13', '08-12-14', 'из города и в город работаю'],
['2021-04-13', '08-23-31', 'два экипажа стояли спасут всех и так полагаю что где светофор поворот на школу'],
['2021-04-13', '08-24-14', 'Володарского на Газели слетели доски там чучмеки эти собирает и будь аккуратней те которые Володарского будут поворачивать на Урицкого'],
['2021-04-13', '08-37-51', 'переговорить карповое типаж'],
['2021-04-13', '08-43-50', 'сама тоже несёшь работать'],
['2021-04-13', '08-45-13', 'Samsung самообзор я Подтверждаю работает экипаж в сторону города'],
['2021-04-13', '08-47-43', 'пробка на володарку на светофор и на Возрождение на светофор пробка там проезд перекрыли направо как обычно Московской выезжаем'],
['2021-04-13', '08-50-33', 'батальон 2 сторон их очень много'],
['2021-04-13', '09-03-53', 'Всем привет по первой Московской поворот на Володарского в сторону второй школы средний ряд стёпушка походу будет сейчас коробочку собираться'],
['2021-04-13', '09-34-04', 'двориков'],
['2021-04-13', '09-34-42', 'в обе стороны работает'],
['2021-04-13', '10-17-13', 'Калиново возле магазина и горячо в сторону Серпухова работают это прямо после переезда Железнодорожного'],
['2021-04-13', '10-19-22', 'не работает светофор и поворота Mark 2 стоит бритва'],
['2021-04-13', '10-50-25', 'перед первой Московской около ритуала авария'],
['2021-04-13', '11-25-03', 'актуальный стоят'],
['2021-04-13', '11-25-55', 'батальон честный кому интересно'],
['2021-04-13', '12-26-55', 'где тагет поворот на новики трудится экипаж'],
['2021-04-13', '12-44-37', 'поворот на платформе Авангард чисто'],
['2021-04-13', '13-11-36', 'в мирной 1 переезд Экипаж работа'],
['2021-04-13', '13-33-10', 'я в машине'],
['2021-04-13', '13-50-44', 'школа работает на кругу'],
['2021-04-13', '13-56-50', 'хорошкола equipage стоит который обычно пешеходов работает Логан'],
['2021-04-13', '13-59-21', 'вон там особо стоит выглядывает пешеходный переход который на Володарского там в низине'],
['2021-04-13', '13-59-46', 'поворотное Авангард работает экипажей'],
['2021-04-13', '14-02-23', 'техничка по второй Московской в сторону площади идёт'],
['2021-04-13', '15-07-20', 'рынок equipage работает'],
['2021-04-13', '15-56-19', 'Пушкина после моста стоит экипаж'],
['2021-04-13', '16-02-43', 'где БТ и утаскивают машину гаишник эвакуатор 8'],
['2021-04-13', '16-13-13', '46 напротив коридор'],
['2021-04-13', '16-14-06', '46 коридора актуально'],
['2021-04-13', '16-35-37', 'сторону города коридор'],
['2021-04-13', '16-35-54', 'na-45 коридор'],
['2021-04-13', '16-37-12', '5 актуально в коридор состоит'],
['2021-04-13', '16-51-06', 'Пушкино Там не только это Экипаж там какой-то телевидение что-ли в белых рубашках что-то опять Они снимают'],
['2021-04-13', '16-58-40', 'красный Текстильщик напротив Пятерочки смотрят на пешехода'],
['2021-04-13', '17-27-50', 'красный Текстильщик напротив Пятёрочки Экипаж работает'],
['2021-04-13', '17-50-39', 'одностороннее сторону газика где 179 дома пробочка там автобус сломался'],
['2021-04-13', '18-10-28', 'Московское шоссе поворот на Ангарск после светофора Балабаново стоят тормозят'],
['2021-04-13', '18-15-00', 'в сторону володарке пробка от медсанчасти'],
['2021-04-13', '18-15-33', 'Экипаж работает'],
['2021-04-13', '18-24-58', 'Спартака Экипаж стал'],
['2021-04-13', '19-48-45', 'напротив стадиона Спартак возле стоянки инфекционной больницы сидит Экипаж машине Толи оформляет Толи Ещё пока не работает'],
['2021-04-13', '20-27-12', 'Спартак'],
['2021-04-13', '20-28-21', 'выезд на м-2 через Борисово техничка'],
['2021-04-14', '05-51-38', 'Экипаж Ну пока в машине'],
['2021-04-14', '05-54-10', 'интересно в Пущино на въезде работает Экипаж всех подряд работает тормозит'],
['2021-04-14', '06-37-01', '6 доски Паш'],
['2021-04-14', '07-06-03', 'Доброе утро Звёздная 3 экипаж'],
['2021-04-14', '07-06-50', 'мы уехали'],
['2021-04-14', '07-57-29', 'на Звёздной 6 Экипаж'],
['2021-04-14', '08-10-14', 'техничка стоит на мойке самообслуживания возле Бориса кладбища'],
['2021-04-14', '08-16-54', 'школа Круг стоит Одинокий сотрудник ДПС 2 коллеги не видно его и машинки тоже не видно'],
['2021-04-14', '08-29-06', 'что не могу подниматься в горку снизу вот здесь на Карла Маркса стоит п***** смотрит на эту горочку кто поднимается имейте в виду'],
['2021-04-14', '08-29-50', 'поворот на Ивановское кладбище Экипаж стал субботы стороны работает'],
['2021-04-14', '08-42-02', 'Ивановское кладбище типаж работает'],
['2021-04-14', '08-52-26', 'Большевик линия которая мойка самообслуживания Только что встали работает'],
['2021-04-14', '09-07-06', 'Екатерины Дашковой 15 Экипаж работает'],
['2021-04-14', '09-11-39', 'пока на борисовском шоссе'],
['2021-04-14', '09-11-40', 'Екатерина Дашкова 15 экипаж'],
['2021-04-14', '09-11-50', 'Московский Москва заработать старого города'],
['2021-04-14', '09-28-33', 'Наташка 15 опять стали вернулись стоят'],
['2021-04-14', '09-39-59', 'заправка Лукойл equipage roblox'],
['2021-04-14', '09-44-24', 'кладбище на Борисова Газпром'],
['2021-04-14', '09-46-50', 'по Весенней если ехать и сворачивать на Горького в сторону центра Экипаж стоит две руки работают'],
['2021-04-14', '10-08-06', 'частный секторы по Горького отречение в сторону центра'],
['2021-04-14', '10-08-24', 'борисовского кладбища'],
['2021-04-14', '10-11-44', 'Джона Рида Ворошилова в сторону корпуса на правый ряд Светофор сломался автобус собирайся'],
['2021-04-14', '10-18-24', 'Горького в сторону Советской между весеннее Подольской стоит экипаж'],
['2021-04-14', '10-26-09', '37 актуальный Экипаж остановил две машины меня 3 не тронул То есть как бы выборочно работает'],
['2021-04-14', '10-30-28', 'Борисовское кладбище по грузовикам и такси'],
['2021-04-14', '10-32-41', 'шоссе чистая уехали'],
['2021-04-14', '10-56-18', '37 чисто уехали'],
['2021-04-14', '10-59-35', 'напротив позитива Северное шоссе тормозит таксистов'],
['2021-04-14', '11-03-08', 'интересно 8 батальон чисто'],
['2021-04-14', '11-03-29', 'Семёновская авария Гальцев приехал'],
['2021-04-14', '11-06-40', 'Добрый день техничка Северное шоссе где вот подарки шары всё для праздника тормознули таксиста стоят шемонаев'],
['2021-04-14', '11-22-39', 'химволокно в топе остановка толстая'],
['2021-04-14', '11-23-17', 'Химиков 1 актуально работают'],
['2021-04-14', '11-28-24', 'коллеги Добрый день техничка вместе с транспортной камера работает на Северном шоссе деревня Ивановское магазин Позитив такси проверяют'],
['2021-04-14', '11-34-09', 'Позитив техничка актуальна установили такси потом шманов'],
['2021-04-14', '11-39-49', 'Северное шоссе детский центр pozitiff техничка остановила фуру два такси имейте в виду'],
['2021-04-14', '11-57-04', 'остановили меня проверили документы путевой-лист отпустили'],
['2021-04-14', '12-25-09', 'Северное шоссе Северный Нуки подарки актуальную что всех таксистов шмонают там что-то кто-то орёт'],
['2021-04-14', '12-25-51', 'Северное шоссе Позитив по-прежнему работать и транспортной idps но сотрудник транспортной особо был скажем придирчив в состоянии путёвки этажки стоят просто ко всем подписи Так что ребята аккуратней смотрите проверьте свои блоки выручки Мало ли что какой резину кого'],
['2021-04-14', '12-41-50', 'Привет меня вот только что тормознул тоже на позитиве сказал что путёвка должна выдаваться типа на день они не на 24 часа Ну вроде как отпустил больше так мне ну типа не делает'],
['2021-04-14', '12-50-54', 'проверка такси'],
['2021-04-14', '12-51-38', 'он правил выдаётся на 12:00 Так что когда берёте путёвки требуют чтобы они были на 12:00 не более'],
['2021-04-14', '12-58-48', 'техничка уехала из Северного шоссе в сторону Б класса'],
['2021-04-14', '13-06-58', 'техничка проехала по Северному сторону Б класса ушла в сторону города на светофоре'],
